id,workout,computer,cellphone,sleep,sns,sns_type,video,video_contents,smoke,smoke_count,covid_smoke,drink,drink_freq,covie_drink,breakfast,color,birthyear,birthmonth,height,height_mom,height_dad,weight,shoes,gender,dating ,dating_count,number,kmu_like,kmu_entry,highsch_curri
57,0,5,4,8,0,facebook,youtube,game,yes,,,yes,<5,descreased,no,black,1998,8,170,160,170,61,250,male,yes,1,3,4,early_total,nat_science
58,30,2,6,8,4,instagram,youtube,life,no,,,yes,5_10,descreased,no,black,2001,8,153,154,170,45,215,female,yes,5,3,4,early_total,nat_science
59,30,1,4,8,1.5,instagram,youtube,music,no,,,yes,5_10,descreased,yes,yellow,2001,4,163,160,177,43,230,female,yes,1,3,4,early_total,nat_science
60,30,2,6,8,4,instagram,youtube,life,no,,,yes,5_10,descreased,no,yellow,2000,12,162,162,183,53,240,female,yes,3,10,5,early_total,nat_science
61,0,3,3,8,1,instagram,ott,music,no,,,yes,<5,descreased,no,blue,2001,5,158,153,166,48,230,female,yes,1,2,3,early_total,nat_science
62,120,4,4,8,0,no_use,youtube,food,no,,,yes,5_10,descreased,yes,blue,2000,12,170,165,172,51,240,female,yes,2,5,5,regular,nat_science
63,150,1,4,8,0,no_use,youtube,music,no,,,no,,,yes,yellow,2000,12,181,170,173,76,275,male,yes,3,1,4,early_subject,lib_arts
64,43,4,7,8.25,0,no_use,youtube,game,no,,,yes,<5,no_change,no,red,1999,12,162,156,169,53,235,female,no,0,10,5,early_total,nat_science
65,0,2,4,9,0,twitter,youtube,life,no,,,yes,<5,descreased,yes,white,2001,5,156,146,163,48,230,female,no,0,5,4,early_total,lib_arts
66,0,3,3,9,0.5,instagram,youtube,food,no,,,yes,<5,descreased,no,purple,1997,5,157,158,162,46,230,female,yes,3,6,4,early_total,lib_arts
67,60,1,4,10,0.5,facebook,youtube,game,yes,10_20,no_change,yes,>=15,no_change,no,black,1997,4,177,160,173,75,265,male,yes,6,8,5,early_subject,nat_science
68,80,2,8,10,6,instagram,youtube,music,no,,,yes,5_10,no_change,no,yellow,2001,12,168,159,173,75,260,female,yes,1,7,3,early_total,lib_arts
69,90,0.5,3,10,1.2,instagram,youtube,sports,no,,,yes,<5,descreased,yes,black,2000,2,178,160,180,83,270,male,yes,4,10,4,regular,lib_arts
70,0,2,5,10,0.5,instagram,youtube,game,no,,,no,,,no,orange,2002,1,159,159,177,49,240,female,yes,1,6,4,early_subject,lib_arts
