번호,발생시각,규모,깊이(km),위도,경도,위치
376,2009.1.1 15:58,2.5,,36.50 N,129.08 E,경북 청송군 북북동쪽 7km 지역
375,2009.1.1 6:45,2.1,,36.31 N,128.35 E,경북 구미시 북쪽 22km 지역
374,2008.12.29 5:51,2.2,,35.67 N,126.34 E,전북 부안군 서쪽 36km 해역
373,2008.12.19 21:53,2.2,,37.36 N,129.83 E,경북 울진군 북동쪽 56km 해역
372,2008.12.19 17:53,3.5,,36.49 N,129.68 E,경북 영덕군 동북동쪽 29km 해역
371,2008.12.18 23:38,2.3,,36.47 N,129.66 E,경북 영덕군 동북동쪽 27km 해역
370,2008.12.11 19:31,2.7,,40.38 N,126.87 E,북한 자강도 용림 남남동쪽 14km 지역
369,2008.12.8 8:49,2.4,,35.14 N,124.62 E,전남 신안군 흑산면 북서쪽 95km 해역
368,2008.12.7 18:02,2.3,,37.79 N,125.02 E,북한 황해남도 옹진 서남서쪽 34km 해역
367,2008.12.7 2:28,2.4,,36.45 N,129.56 E,경북 영덕군 동북동쪽 18km 해역
366,2008.11.11 23:37,2.5,,38.56 N,125.66 E,북한 황해북도 사리원 북서쪽 11km 지역
365,2008.11.11 21:30,3,,38.55 N,125.67 E,북한 황해북도 사리원 서북서쪽 9km 지역
364,2008.11.11 21:20,3,,38.54 N,125.65 E,북한 황해북도 사리원 서북서쪽 10km 지역
363,2008.11.5 18:12,2.3,,37.07 N,129.11 E,경북 봉화군 동북동쪽 38km 지역
362,2008.10.29 9:26,3.4,,36.35 N,127.25 E,충남 공주시 남동쪽 15km 지역
361,2008.10.8 11:04,2.1,,38.12 N,127.11 E,경기 연천군 북동쪽 4km 지역
360,2008.9.20 11:24,2.8,,34.11 N,125.02 E,전남 신안군 흑산면 남서쪽 73km 해역
359,2008.9.13 12:05,2.5,,35.60 N,126.99 E,전북 정읍시 동북동쪽 12km 지역
358,2008.9.11 10:46,2.4,,38.08 N,127.12 E,경기 연천군 동남동쪽 4km 지역
357,2008.9.8 15:35,2.6,,34.57 N,128.25 E,경남 통영시 남남서쪽 36km 해역
356,2008.9.4 0:44,3,,35.13 N,125.04 E,전남 신안군 흑산면 북서쪽 66km 해역
355,2008.8.20 14:45,2.2,,35.72 N,125.69 E,전북 군산시 어청도 남남서쪽 52km 해역
354,2008.7.27 21:48,2.2,,34.45 N,128.08 E,경남 남해군 남남동쪽 46km 해역
353,2008.7.27 17:13,2.4,,39.40 N,126.03 E,북한 평안남도 평성 북동쪽 23km 지역
352,2008.7.23 19:29,3.2,,34.49 N,128.04 E,경남 남해군 남남동쪽 41km 해역
351,2008.7.22 23:11,2.5,,35.31 N,129.74 E,울산 동구 남동쪽 36km 해역
350,2008.7.4 20:48,2.5,,39.30 N,127.19 E,북한 함경남도 고원 남남서쪽 15km 지역
349,2008.7.4 19:39,2.1,,39.26 N,127.22 E,북한 함경남도 고원 남쪽 18km 지역
348,2008.7.1 16:32,2.3,,35.54 N,128.82 E,경남 밀양시 북동쪽 8km 지역
347,2008.6.30 3:34,2.3,,35.10 N,124.66 E,전남 신안군 흑산면 북서쪽 89km 해역
346,2008.6.21 23:30,2.2,,35.57 N,128.60 E,경남 밀양시 북서쪽 17km 지역
345,2008.5.31 21:59,4.2,,33.50 N,125.69 E,제주 제주시 서쪽 78km 해역
344,2008.5.26 11:01,2.6,,35.85 N,130.01 E,경북 포항시 남구 동남동쪽 61km 해역
343,2008.3.27 16:29,2.8,,37.78 N,126.40 E,인천 강화군 서북서쪽 9km 지역
342,2008.3.21 23:57,2.7,,35.15 N,124.57 E,전남 신안군 흑산면 북서쪽 99km 해역
341,2008.3.15 1:38,2,,38.11 N,127.10 E,경기 연천군 북동쪽 3km 지역
340,2008.3.9 18:07,2.2,,38.75 N,125.84 E,북한 황해북도 송림 동쪽 18km 지역
339,2008.3.8 18:05,2,,35.66 N,128.80 E,경북 청도군 동북동쪽 6km 지역
338,2008.2.29 15:53,3.2,,38.75 N,126.23 E,북한 황해북도 신계 북서쪽 38km 지역
337,2008.2.29 5:37,2.4,,33.57 N,126.54 E,제주 제주시 북쪽 8km 해역
336,2008.2.26 23:22,2.5,,35.97 N,126.56 E,전북 군산시 서쪽 14km 해역
335,2008.2.26 9:10,2.6,,37.95 N,124.85 E,인천 백령도 동쪽 15km 해역
334,2008.2.23 18:19,2.2,,35.82 N,129.33 E,경북 경주시 동쪽 11km 지역
333,2008.2.5 10:06,2.3,,38.41 N,125.90 E,북한 황해북도 사리원 남동쪽 16km 지역
332,2008.1.16 19:58,3.9,,35.65 N,125.37 E,전북 군산시 어청도 남서쪽 75km 해역
331,2008.1.14 18:03,2.2,,36.19 N,127.54 E,충남 금산군 북북동쪽 10km 지역
330,2008.1.10 22:51,2.2,,35.09 N,125.06 E,전남 신안군 흑산면 북서쪽 62km 해역
329,2008.1.1 6:33,3.2,,40.41 N,127.25 E,북한 함경남도 장진 북북동쪽 3km 지역
328,2007.12.28 4:03,2.7,,34.98 N,129.64 E,부산 해운대구 동남동쪽 48km 해역
327,2007.12.22 9:54,2.6,,38.63 N,125.50 E,북한 황해남도 안악군 북쪽 14km 지역
326,2007.12.16 0:04,2.2,,35.62 N,127.80 E,경남 함양군 북북동쪽 13km 지역
325,2007.11.19 5:51,2.1,,34.78 N,126.48 E,전남 영암군 서쪽 20km 지역
324,2007.10.29 2:32,2.5,,36.62 N,128.42 E,경북 예천군 남서쪽 5km 지역
323,2007.10.17 20:06,2.1,,36.43 N,129.57 E,경북 영덕군 동쪽 18km 해역
322,2007.10.16 14:59,2.9,,37.45 N,128.97 E,강원 동해시 서남서쪽 15km 지역
321,2007.10.13 4:13,2.1,,36.44 N,129.63 E,경북 영덕군 동쪽 24km 해역
320,2007.10.8 22:36,2.2,,38.90 N,125.76 E,북한 평양 남쪽 13km 지역
319,2007.10.6 9:08,2.5,,35.59 N,125.96 E,전남 영광군 북서쪽 61km 해역
318,2007.10.4 23:56,2.9,,36.43 N,129.55 E,경북 영덕군 동쪽 16km 해역
317,2007.10.1 1:02,2.2,,36.44 N,129.54 E,경북 영덕군 북동쪽 16km 해역
316,2007.9.24 0:24,2.6,,36.45 N,129.61 E,경북 영덕군 동쪽 22km 해역
315,2007.9.17 1:16,3,,36.45 N,129.69 E,경북 영덕군 동쪽 29km 해역
314,2007.9.12 6:50,2.7,,36.46 N,129.47 E,경북 영덕군 동북동쪽 11km 해역
313,2007.8.30 16:12,2.9,,38.69 N,125.64 E,북한 황해북도 송림 남쪽 5km 지역
312,2007.8.18 15:09,2.5,,35.99 N,125.78 E,전북 군산시 어청도 남서쪽 23km 해역
311,2007.8.12 4:52,2.1,,36.05 N,127.74 E,충북 영동군 남남서쪽 14km 지역
310,2007.8.7 18:39,2.4,,37.23 N,128.80 E,강원 정선군 남동쪽 20km 지역
309,2007.7.27 1:37,2.1,,39.16 N,126.65 E,북한 평안남도 양덕 남남동쪽 6km 지역
308,2007.7.22 13:49,2.6,,36.88 N,126.66 E,충남 당진군 동남동쪽 3km 지역
307,2007.7.19 21:01,2.2,,37.08 N,129.01 E,강원 태백시 남남동쪽 9km 지역
306,2007.7.8 19:28,2.2,,37.37 N,129.66 E,강원 삼척시 동남동쪽 44km 해역
305,2007.6.26 0:01,2.2,,35.61 N,130.15 E,울산 동구 동쪽 67km 해역
304,2007.5.28 0:51,2.1,,35.23 N,128.57 E,경남 마산시 북쪽 4km 지역
303,2007.5.26 19:59,2.5,,36.10 N,125.05 E,충남 태안군 서격렬비열도 남서쪽 70km 해역
302,2007.5.19 7:53,2.4,,36.57 N,129.00 E,경북 청송군 북북서쪽 16km 지역
301,2007.5.16 4:56,2.5,,35.72 N,129.22 E,경북 경주시 남쪽 13km 지역
300,2007.5.13 16:22,2.2,,35.92 N,128.01 E,경북 김천시 남남서쪽 25km 지역
299,2007.5.11 5:51,2.1,,35.55 N,129.91 E,울산 동구 동쪽 45km 해역
298,2007.5.3 18:24,2.1,,36.60 N,127.83 E,경북 상주시 북서쪽 36km 지역
297,2007.5.3 12:24,2.2,,36.13 N,127.85 E,충북 영동군 남동쪽 7km 지역
296,2007.4.25 8:36,2,,36.94 N,126.53 E,충남 당진군 서북서쪽 11km 지역
295,2007.4.1 22:16,2.3,,38.58 N,125.63 E,북한 황해북도 사리원 북서쪽 14km 지역
294,2007.3.28 2:47,2.8,,38.64 N,125.60 E,북한 황해북도 송림 남남서쪽 11km 해역
293,2007.3.15 5:30,2.9,,36.18 N,127.97 E,충북 영동군 동쪽 17km 지역
292,2007.3.10 18:18,2,,37.21 N,128.85 E,강원 정선군 남동쪽 25km 지역
291,2007.2.6 0:35,2.2,,34.97 N,129.68 E,부산 기장군 남동쪽 52km 해역
290,2007.1.24 16:31,2.4,,38.62 N,125.59 E,북한 황해북도 송림 남남서쪽 13km 지역
289,2007.1.20 20:56,4.8,,37.68 N,128.59 E,강원 평창군 북북동쪽 39km 지역
288,2007.1.19 9:06,2,,37.69 N,128.57 E,강원 평창군 북북동쪽 39km 지역
287,2007.1.6 5:47,2.4,,39.11 N,127.98 E,북한 강원 원산 동쪽 48km 해역
286,2006.12.28 9:44,2.2,,36.11 N,128.11 E,경북 김천시 남남동쪽 3km 지역
285,2006.12.20 1:18,2.1,,37.14 N,129.90 E,경북 울진군 동북동쪽 47km 해역
284,2006.12.10 1:39,2.5,,33.06 N,126.22 E,제주 서귀포시 남서쪽 35km 해역
283,2006.12.4 0:51,2.7,,36.46 N,127.92 E,경북 상주시 서북서쪽 22km 지역
282,2006.11.26 3:05,2.4,,34.14 N,127.48 E,전남 여수시 거문도 북동쪽 20km 해역
281,2006.11.12 8:19,2.9,,38.59 N,125.12 E,북한 남포 서남서쪽 34km 지역
280,2006.11.11 1:16,2.4,,35.97 N,127.45 E,전북 진안군 북쪽 20km 지역
279,2006.10.25 18:14,2.6,,33.36 N,125.75 E,제주 제주시 고산 서쪽 39km 해역
278,2006.10.22 14:09,2.2,,37.13 N,125.98 E,인천 옹진군 덕적도 서남서쪽 18km 해역
277,2006.10.16 14:12,2.4,,37.35 N,124.88 E,인천 백령도 남남동쪽 69km 해역
276,2006.10.4 5:29,2.2,,36.67 N,127.67 E,충북 청원군 동북동쪽 16km 지역
275,2006.9.29 23:07,3.4,,34.10 N,124.90 E,전남 신안군 흑산면 남서쪽 81km 해역
274,2006.9.20 14:15,2.1,,34.62 N,128.81 E,경남 거제시 남남동쪽 33km 해역
273,2006.9.20 0:03,2.6,,35.92 N,129.56 E,경북 포항시 남구 동남동쪽 20km 해역
272,2006.8.26 7:44,2.2,,37.21 N,128.81 E,강원 정선군 남동쪽 23km 지역
271,2006.8.9 8:16,2.3,,35.70 N,124.82 E,전남 영광군 안마도 서북서쪽 117km 해역
270,2006.8.7 14:18,2.8,,35.60 N,124.63 E,전남 신안군 흑산면 북서쪽 130km 해역
269,2006.8.1 12:57,2,,35.74 N,127.82 E,경남 거창군 북서쪽 10km 지역
268,2006.7.26 2:50,2,,35.80 N,127.88 E,경남 거창군 북북서쪽 13km 지역
267,2006.7.25 23:29,2.5,,35.79 N,127.89 E,경남 거창군 북쪽 12km 지역
266,2006.7.24 2:44,2,,37.17 N,126.32 E,인천 옹진군 남서쪽 42km 해역
265,2006.7.18 14:49,2,,36.13 N,126.65 E,충남 서천군 북서쪽 7km 지역
264,2006.6.1 11:58,2.4,,34.60 N,128.16 E,경남 남해군 남동쪽 36km 해역
263,2006.5.8 6:59,2.4,,36.22 N,129.54 E,경북 포항시 북구 북동쪽 25km 해역
262,2006.4.30 9:50,2.5,,37.05 N,129.84 E,경북 울진군 동쪽 39km 해역
261,2006.4.29 11:01,3.5,,37.09 N,129.93 E,경북 울진군 동북동쪽 48km 해역
260,2006.4.29 1:01,2.5,,37.07 N,129.81 E,경북 울진군 동북동쪽 37km 해역
259,2006.4.28 23:54,2.5,,37.12 N,129.93 E,경북 울진군 동북동쪽 49km 해역
258,2006.4.28 23:47,3,,37.09 N,129.93 E,경북 울진군 동북동쪽 48km 해역
257,2006.4.19 16:18,2.1,,37.01 N,129.82 E,경북 울진군 동쪽 37km 해역
256,2006.4.19 16:01,2.4,,37.10 N,129.92 E,경북 울진군 동북동쪽 47km 해역
255,2006.4.19 10:57,2.5,,37.10 N,129.91 E,경북 울진군 동북동쪽 47km 해역
254,2006.4.19 9:49,3,,37.05 N,129.96 E,경북 울진군 동쪽 50km 해역
253,2006.4.19 9:35,2.4,,37.07 N,129.93 E,경북 울진군 동쪽 48km 해역
252,2006.4.13 1:09,2.8,,34.74 N,125.01 E,전남 신안군 흑산면 서북서쪽 43km 해역
251,2006.4.3 18:14,3.3,,38.68 N,125.96 E,북한 황해도 사리원 동북동쪽 24km지역
250,2006.4.2 0:04,2,,35.38 N,127.22 E,전북 남원시 서남서쪽 16km 지역
249,2006.3.26 7:54,2.4,,35.67 N,126.26 E,전북 부안군 위도 북북서쪽 48km 해역
248,2006.3.23 7:42,2.5,,38.33 N,127.30 E,북한 강원 철원군 북쪽 20km 지역
247,2006.3.19 14:03,2,,36.33 N,127.34 E,대전 서구 서남서쪽 3km 지역
246,2006.3.19 13:59,2.9,,36.34 N,127.36 E,대전 서구 서남서쪽 1km 지역
245,2006.3.15 4:36,2.4,,38.19 N,125.94 E,북한 황해남도 해주 북동쪽 26km 지역
244,2006.3.11 4:52,2.1,,37.13 N,126.00 E,충남 태안군 북북서쪽 51km 해역
243,2006.3.10 5:57,2.5,,33.30 N,127.15 E,제주 서귀포시 동쪽 59km 해역
242,2006.2.28 18:52,2.3,,36.22 N,127.66 E,충북 영동군 서북서쪽 13km 지역
241,2006.2.28 0:11,2.3,,35.80 N,127.89 E,경남 거창군 북쪽 13km 지역
240,2006.2.14 3:32,3,,38.67 N,126.03 E,북한 황해북도 사리원 북동쪽 30km 지역
239,2006.1.21 11:29,2.1,,36.33 N,127.26 E,충남 공주시 남동쪽 18km 지역
238,2006.1.19 22:53,2,,37.19 N,128.77 E,강원 영월군 동쪽 27km 지역
237,2006.1.19 12:35,3.2,,37.21 N,128.80 E,강원 정선군 남남동쪽 22km 지역
236,2005.12.25 3:58,2.6,,34.76 N,127.11 E,전남 보성군 동남동쪽 3km 해역
235,2005.12.18 0:00,2.2,,34.64 N,127.61 E,전남 여수시 남서쪽 15km 해역
234,2005.12.7 18:02,2.5,,36.62 N,127.76 E,충북 괴산군 남쪽 21km 지역
233,2005.11.27 11:47,3.1,,38.35 N,123.99 E,북한 인천 백령도 북서쪽 75km 해역
232,2005.11.15 9:10,3.1,,37.21 N,128.80 E,강원 정선군 남남동쪽 23km 지역
231,2005.11.6 12:52,2.2,,35.98 N,128.13 E,경북 김천시 남쪽 18km 지역
230,2005.10.23 1:02,2.7,,34.98 N,127.01 E,전남 화순군 남남동쪽 10km 지역
229,2005.10.21 12:00,3.2,,37.87 N,125.05 E,북한 황해남도 옹진 서남서쪽 28km 해역
228,2005.10.13 11:22,2.7,,36.94 N,129.47 E,경북 울진군 남동쪽 9km 해역
227,2005.10.10 8:51,3.5,,37.92 N,124.94 E,북한 인천 백령도 동쪽 23km 해역
226,2005.10.3 19:18,2.1,,35.82 N,129.58 E,경북 포항시 남구 남동쪽 29km 해역
225,2005.9.7 17:11,2.1,,37.09 N,127.84 E,충북 충주시 북서쪽 13km 지역
224,2005.8.31 12:58,2.2,,37.13 N,129.69 E,경북 울진군 동북동쪽 30km 해역
223,2005.8.25 19:33,2.4,,36.65 N,126.26 E,충남 태안군 남남서쪽 11km 지역
222,2005.8.24 5:06,3.4,,34.16 N,127.03 E,전남 여수시 거문도 서북서쪽 30km 해역
221,2005.7.30 3:01,3.1,,34.16 N,127.44 E,전남 여수시 거문도 북동쪽 19km 해역
220,2005.6.30 0:25,3.1,,36.66 N,129.63 E,경북 영덕군 북동쪽 36km 해역
219,2005.6.29 23:18,4,,34.50 N,129.05 E,경남 통영시 매물도 동남동쪽 46km 해역
218,2005.6.20 15:31,3,,38.81 N,125.57 E,북한 황해북도 송림 북서쪽 10km 지역
217,2005.6.15 7:37,3,,33.00 N,126.15 E,제주 제주시 고산 남쪽 33km 해역
216,2005.6.15 7:07,3.9,,33.06 N,126.17 E,제주 제주시 고산 남쪽 26km 해역
215,2005.6.10 21:14,2.5,,36.77 N,128.48 E,경북 예천군 북쪽 13km 지역
214,2005.6.10 12:49,2.3,,36.78 N,128.49 E,경북 영주시 서남서쪽 12km 지역
213,2005.6.8 0:07,2.5,,37.51 N,124.76 E,인천 백령도 남쪽 50km 해역
212,2005.5.15 7:22,2.6,,38.13 N,125.60 E,북한 황해남도 해주 북서쪽 14km 지역
211,2005.5.1 16:27,3.6,,35.04 N,122.99 E,전남 신안군 흑산면 서쪽 230km 해역
210,2005.4.21 12:37,3,,34.91 N,125.47 E,전남 신안군 흑산면 북쪽 29km 해역
209,2005.4.9 23:04,2.4,,35.67 N,130.03 E,울산 동구 동북동쪽 58km 해역
208,2005.4.9 19:14,2.4,,37.17 N,125.41 E,인천 옹진군 연평도 남남서쪽 61km 해역
207,2005.4.1 0:15,2.4,,33.56 N,126.97 E,제주 서귀포시 성산 북북동쪽 21km 해역
206,2005.3.31 19:32,2.2,,36.43 N,125.57 E,충남 태안군 서격렬비열도 남쪽 19km 해역
205,2005.3.17 23:39,3.1,,32.47 N,125.85 E,제주 서귀포시 남서쪽 108km 해역
204,2005.3.12 11:56,2.4,,38.82 N,127.14 E,북한 강원 회양 서북서쪽 42km 지역
203,2005.2.20 22:18,3.4,,35.40 N,126.22 E,전남 영광군 서북서쪽 30km 해역
202,2005.2.7 20:16,2.8,,36.59 N,130.02 E,경북 영덕군 동북동쪽 62km 해역
201,2005.2.5 11:27,2.5,,33.49 N,126.36 E,제주 제주시 서쪽 16km 해역
200,2005.2.3 7:48,2.4,,38.95 N,130.39 E,경북 울릉군 북북서쪽 169km 해역
199,2004.12.12 3:00,2.1,,33.60 N,127.70 E,제주 제주시 동쪽 109km 해역
198,2004.12.10 19:41,2.3,,32.90 N,125.80 E,제주 서귀포시 서남서쪽 77km 해역
197,2004.11.30 13:51,2.5,,33.20 N,125.70 E,제주 서귀포시 서쪽 76km 해역
196,2004.11.28 13:15,2.4,,37.60 N,129.50 E,강원 삼척시 동북동쪽 34km 해역
195,2004.11.5 1:25,2,,37.10 N,126.10 E,인천 옹진군 덕적도 남남서쪽 14km 해역
194,2004.10.20 14:12,2.7,,34.40 N,125.50 E,전남 신안군 흑산면 남쪽 28km 해역
193,2004.10.14 3:02,2.7,,33.70 N,127.30 E,전남 여수시 거문도 남쪽 36km 해역
192,2004.10.11 19:19,2.2,,38.00 N,125.40 E,북한 황해남도 옹진 북북동쪽 9km 지역
191,2004.10.4 6:24,2,,35.50 N,128.30 E,경남 의령군 북쪽 20km 지역
190,2004.9.27 18:47,2.5,,35.50 N,128.30 E,경남 의령군 북쪽 20km 지역
189,2004.9.24 1:40,2.5,,33.40 N,127.10 E,제주 서귀포시 성산 동쪽 20km 해역
188,2004.9.15 7:47,2.5,,37.50 N,126.90 E,서울 영등포구 남쪽 3km 지역
187,2004.8.13 22:42,2.7,,37.60 N,126.50 E,인천 강화군 남쪽 16km 지역
186,2004.8.11 4:29,2.3,,33.30 N,126.20 E,제주 제주시 남서쪽 38km 지역
185,2004.8.6 5:32,3.3,,35.90 N,127.40 E,전북 진안군 북쪽 13km 지역
184,2004.7.14 20:37,2.1,,36.40 N,127.30 E,대전 유성구 북서쪽 7km 지역
183,2004.7.14 13:44,2.6,,33.40 N,127.20 E,제주 제주시 동쪽 63km 해역
182,2004.7.13 21:08,2.1,,38.50 N,126.00 E,북한 황해북도 사리원 동쪽 21km 지역
181,2004.6.11 16:25,2.1,,37.30 N,128.70 E,강원 정선군 남남동쪽 9km 지역
180,2004.6.1 20:22,3.5,,37.20 N,130.00 E,경북 울진군 동북동쪽 58km 해역
179,2004.5.30 21:45,2.2,,37.00 N,129.30 E,경북 울진군 서쪽 9km 지역
178,2004.5.30 4:45,2,,36.60 N,130.00 E,경북 영덕군 동북동쪽 60km 해역
177,2004.5.29 19:14,5.2,,36.80 N,130.20 E,경북 울진군 동남동쪽 74km 해역
176,2004.5.25 18:08,2.7,,39.50 N,124.90 E,북한 평안북도 정주 남서쪽 34km 해역
175,2004.5.17 15:05,2.1,,36.40 N,125.90 E,전북 군산시 어청도 북북서쪽 31km 해역
174,2004.5.6 23:10,2,,37.50 N,129.90 E,강원 삼척시 동쪽 65km 해역
173,2004.5.5 12:22,3.1,,32.70 N,126.00 E,제주 서귀포시 남서쪽 78km 해역
172,2004.5.5 2:15,2.2,,33.40 N,127.30 E,제주 제주시 동쪽 72km 해역
171,2004.5.5 1:07,2.2,,33.40 N,127.30 E,제주 제주시 동쪽 72km 해역
170,2004.4.30 23:43,2.8,,35.80 N,129.40 E,경북 경주시 동남동쪽 17km 지역
169,2004.4.29 17:31,2.9,,37.40 N,123.80 E,인천 백령도 남서쪽 99km 해역
168,2004.4.26 13:29,3.9,,35.80 N,128.20 E,경북 고령군 북서쪽 10km 지역
167,2004.4.15 23:25,2,,34.90 N,124.60 E,전남 신안군 흑산면 서북서쪽 84km 해역
166,2004.4.2 12:04,2.9,,39.40 N,126.00 E,북한 평안남도 평성 북동쪽 21km 지역
165,2004.3.7 20:58,2.9,,35.80 N,125.40 E,전북 군산시 어청도 남서쪽 63km 해역
164,2004.2.26 5:51,2.1,,37.20 N,128.90 E,강원 정선군 남동쪽 29km 지역
163,2004.2.6 7:30,2.4,,38.60 N,126.10 E,북한 황해북도 사리원 동북동쪽 31km 지역
162,2004.1.29 20:22,2.4,,35.90 N,128.50 E,경북 칠곡군 남동쪽 13km 지역
161,2004.1.23 5:27,2,,35.40 N,128.00 E,경남 산청군 동쪽 11km 지역
160,2004.1.17 9:47,2.9,,33.70 N,125.80 E,제주 제주시 서북서쪽 72km 해역
159,2004.1.6 1:49,3.2,,38.70 N,125.10 E,북한 남포 서남서쪽 31km 해역
158,2004.1.5 6:11,2.9,,36.20 N,127.00 E,충남 논산시 서북서쪽 9km 지역
157,2003.10.17 11:55,2,,35.80 N,129.40 E,경북 경주시 동남동쪽 17km 지역
156,2003.10.14 1:44,2.4,,34.10 N,127.50 E,전남 고흥군 남남동쪽 60km 해역
155,2003.10.13 18:12,3.6,,37.00 N,126.50 E,충남 당진군 북서쪽 17km 지역
154,2003.10.5 5:03,2.1,,36.30 N,127.30 E,대전 유성구 남서쪽 8km 지역
153,2003.10.4 4:59,2.3,,33.20 N,126.90 E,제주 서귀포시 동쪽 37km 해역
152,2003.9.25 15:24,2.5,,36.00 N,129.60 E,경북 포항시 북구 동남동쪽 21km 해역
151,2003.9.24 3:26,2.3,,35.80 N,128.50 E,대구 달성군 서남서쪽 6km 지역
150,2003.9.19 20:48,2.9,,37.50 N,124.50 E,인천 백령도 남남서쪽 53km 해역
149,2003.8.12 1:25,2.6,,34.70 N,130.30 E,부산 기장군 동남동쪽 115km 해역
148,2003.8.7 11:04,2.7,,36.80 N,129.50 E,경북 울진군 남남동쪽 23km 해역
147,2003.7.28 6:12,2.7,,35.10 N,124.70 E,전남 신안군 흑산면 북서쪽 86km 해역
146,2003.7.18 17:05,2.9,,35.00 N,124.30 E,전남 신안군 흑산면 서북서쪽 114km 해역
145,2003.7.9 15:20,2.7,,34.90 N,128.20 E,경남 고성군 남서쪽 14km 지역
144,2003.7.5 12:18,3,,37.40 N,125.30 E,인천 옹진군 연평도 남서쪽 46km 해역
143,2003.6.29 11:53,2.1,,35.70 N,124.80 E,전북 군산시 어청도 서남서쪽 115km 해역
142,2003.6.9 10:14,4,,36.00 N,123.60 E,충남 태안군 서격렬비열도 서남서쪽 186km 해역
141,2003.6.8 2:07,2.6,,36.50 N,125.10 E,충남 태안군 서격렬비열도 서남서쪽 40km 해역
140,2003.6.4 3:34,2.7,,35.20 N,125.20 E,전남 신안군 흑산면 북북서쪽 66km 해역
139,2003.4.16 2:55,3.3,,36.40 N,126.30 E,충남 보령시 서북서쪽 29km 해역
138,2003.4.5 0:56,2.4,,36.20 N,127.30 E,충남 논산시 동쪽 18km 지역
137,2003.4.5 0:31,2.9,,36.20 N,127.30 E,충남 논산시 동쪽 18km 지역
136,2003.4.5 0:25,2.5,,36.20 N,127.30 E,충남 논산시 동쪽 18km 지역
135,2003.4.1 22:26,2.1,,36.40 N,127.80 E,충북 보은군 남남동쪽 11km 지역
134,2003.3.30 20:10,5,,37.80 N,123.70 E,인천 백령도 서남서쪽 88km 해역
133,2003.3.23 5:38,4.9,,35.00 N,124.60 E,전남 신안군 흑산면 서북서쪽 88km 해역
132,2003.3.19 23:05,2.3,,36.50 N,129.60 E,경북 영덕군 동북동쪽 23km 해역
131,2003.3.14 4:06,2.1,,36.20 N,128.70 E,경북 군위군 동남동쪽 12km 지역
130,2003.3.10 3:28,3.1,,36.10 N,128.40 E,경북 구미시 동남동쪽 5km 지역
129,2003.3.4 12:44,2.9,,38.30 N,128.60 E,강원 속초시 북쪽 10km 해역
128,2003.3.1 23:33,3,,35.80 N,129.30 E,경북 경주시 동남동쪽 9km 지역
127,2003.3.1 21:07,2.5,,37.60 N,124.60 E,인천 백령도 남쪽 40km 해역
126,2003.2.14 16:42,2.9,,38.00 N,124.50 E,인천 백령도 서북서쪽 17km 해역
125,2003.2.9 22:28,2.3,,36.00 N,127.90 E,경북 김천시 남서쪽 23km 지역
124,2003.2.8 23:46,2.9,,35.30 N,126.60 E,전남 영광군 동북동쪽 8km 지역
123,2003.1.16 14:02,2.2,,33.60 N,127.30 E,제주 제주시 동쪽 72km 해역
122,2003.1.13 22:03,2.8,,35.80 N,129.40 E,경북 경주시 동남동쪽 17km 지역
121,2003.1.10 7:56,2.7,,35.90 N,129.20 E,경북 경주시 북쪽 7km 지역
120,2003.1.9 17:33,3.9,,37.40 N,124.20 E,인천 백령도 남서쪽 74km 해역
119,2002.12.26 23:41,2.7,,36.50 N,127.00 E,충남 공주시 서북서쪽 13km 지역
118,2002.12.17 8:44,2.1,,37.10 N,126.40 E,인천 옹진군 덕적도 동남동쪽 26km 해역
117,2002.12.16 18:21,2.4,,36.70 N,130.20 E,경북 울진군 동남동쪽 78km 해역
116,2002.12.12 21:42,2.3,,37.10 N,126.40 E,인천 옹진군 덕적도 동남동쪽 26km 해역
115,2002.12.10 7:42,3.8,,38.80 N,127.20 E,북한 강원 회양 서북서쪽 36km 지역
114,2002.12.7 16:43,2.7,,37.40 N,129.40 E,강원 삼척시 동남동쪽 21km 해역
113,2002.12.5 11:01,2.1,,36.70 N,126.20 E,충남 태안군 서남서쪽 10km 지역
112,2002.12.5 10:05,2,,36.70 N,126.30 E,충남 태안군 남쪽 5km 지역
111,2002.11.13 21:46,2.4,,35.80 N,127.90 E,경남 거창군 북쪽 13km 지역
110,2002.11.6 21:48,2.5,,36.40 N,127.70 E,충북 옥천군 북동쪽 16km 지역
109,2002.10.28 11:50,2.8,,35.10 N,126.60 E,전남 함평군 동북동쪽 8km 지역
108,2002.10.25 4:06,2.4,,33.90 N,127.10 E,전남 여수시 거문도 남서쪽 24km 해역
107,2002.10.23 10:30,2.8,,34.90 N,128.40 E,경남 통영시 북북서쪽 6km 지역
106,2002.10.20 4:22,3,,35.20 N,127.70 E,경남 하동군 북북서쪽 16km 지역
105,2002.10.19 21:31,2.7,,36.20 N,127.60 E,충남 금산군 북동쪽 15km 지역
104,2002.10.16 19:48,2.4,,36.60 N,127.60 E,충북 청원군 동남동쪽 11km 지역
103,2002.10.4 2:06,2.4,,38.10 N,126.40 E,북한 개성 북서쪽 20km 지역
102,2002.9.19 3:10,2.9,,35.60 N,125.40 E,전남 신안군 흑산면 북쪽 106km 해역
101,2002.9.16 7:36,2.8,,36.10 N,128.30 E,경북 구미시 서남서쪽 5km 지역
