번호,발생시각,규모,깊이(km),위도,경도,위치
571,2012.8.18 18:06,2.2,,36.20 N,125.26 E,충남 태안군 서격렬비도 남남서쪽 51km 해역
570,2012.8.13 0:54,2.2,,36.84 N,128.68 E,경북 영주시 북동쪽 6km 지역
569,2012.8.10 21:25,2.6,,35.82 N,128.39 E,경북 고령군 북동쪽 16km 지역
568,2012.7.29 3:22,2.7,,32.85 N,126.02 E,제주 제주시 고산 남남서쪽 51km 해역
567,2012.7.26 19:24,3.4,,37.98 N,125.45 E,북한 황해남도 옹진 북동쪽 10km 지역
566,2012.7.22 12:04,2.3,,34.69 N,126.60 E,전남 영암군 남서쪽 15km 지역
565,2012.7.14 2:38,2.6,,33.78 N,124.97 E,전남 신안군 가거도 남남서쪽 34km 해역
564,2012.7.11 19:33,2.1,,36.87 N,125.28 E,충남 태안군 서격렬비도 북서쪽 38km 해역
563,2012.7.11 19:27,2.5,,36.90 N,125.27 E,충남 태안군 서격렬비도 북서쪽 41km 해역
562,2012.7.9 8:59,2.4,,35.32 N,128.71 E,경남 창원시 북북동쪽 11km지역
561,2012.7.8 9:43,2.5,,35.72 N,129.35 E,경북 경주시 남동쪽 18km 지역
560,2012.7.3 9:42,2.2,,37.19 N,129.08 E,강원 삼척시 남남서쪽 30km 지역
559,2012.6.24 1:20,2.1,,37.53 N,124.56 E,인천 백령도 남남서쪽 48km 해역
558,2012.6.23 16:42,2.6,,36.70 N,128.31 E,경북 문경시 북동쪽 17km 지역
557,2012.6.19 20:55,3.1,,33.48 N,125.93 E,제주 제주시 고산 북서쪽 30km 해역
556,2012.6.14 6:15,2.1,,39.72 N,126.92 E,북한 함경남도 요덕 북동쪽 10km지역
555,2012.6.12 17:52,2.2,,35.87 N,128.67 E,대구 수성구 동북동쪽 4km 지역
554,2012.6.12 13:34,2.4,,37.33 N,125.27 E,인천 옹진군 연평도 남서쪽 53km 해역
553,2012.6.12 9:01,2.1,,38.77 N,125.72 E,북한 황해북도 송림 동북동쪽 8km 지역
552,2012.6.12 3:42,2.1,,36.32 N,127.51 E,충북 옥천군 서북서쪽 6km 지역
551,2012.6.5 8:18,2.1,,38.43 N,126.16 E,북한 황해북도 평산 서북서쪽 23km 지역
550,2012.6.1 12:05,2.6,,37.12 N,125.96 E,인천 옹진군 덕적도 서남서쪽 20km 해역
549,2012.6.1 8:09,2.3,,35.92 N,127.61 E,전북 무주군 남남서쪽 10km 지역
548,2012.5.30 2:48,3.4,,36.57 N,129.57 E,경북 영덕군 북동쪽 25km 해역
547,2012.5.16 17:50,2.7,,36.23 N,128.49 E,경북 군위군 서쪽 8km 지역
546,2012.5.15 11:05,2.9,,35.92 N,129.62 E,경북 포항시 남구 동남동쪽 25km 해역
545,2012.5.11 12:46,3.9,,36.02 N,127.71 E,전북 무주군 동북동쪽 5km 지역
544,2012.5.2 5:04,2.1,,35.77 N,126.81 E,전북 김제시 서남서쪽 7km 지역
543,2012.5.2 1:33,3.4,,33.69 N,126.04 E,제주 제주시 고산 북북서쪽 46km 해역
542,2012.4.20 21:11,3.1,,33.43 N,127.26 E,제주 서귀포시 성산 동쪽 36km 해역
541,2012.4.17 13:31,2.6,,35.72 N,126.51 E,전북 부안군 서쪽 20km 해역
540,2012.3.30 14:51,2.3,,36.49 N,127.91 E,경북 상주시 서북서쪽 24km 지역
539,2012.3.29 0:26,2.2,,35.34 N,125.95 E,전북 부안군 위도 남서쪽 43km 해역
538,2012.3.18 9:21,2.5,,36.90 N,130.24 E,경북 울진군 동쪽 75km 해역
537,2012.2.27 0:26,2.5,,35.15 N,129.85 E,울산 동구 남동쪽 55km 해역
536,2012.2.24 9:05,3.2,,35.20 N,129.93 E,울산 동구 남동쪽 57km 해역
535,2012.2.24 0:54,2.4,,35.13 N,129.85 E,울산 동구 남동쪽 57km 해역
534,2012.2.21 22:30,2.5,,35.13 N,129.80 E,부산 기장군 동남동쪽 54km 해역
533,2012.2.19 20:21,2.7,,35.13 N,129.89 E,울산 동구 남동쪽 59km 해역
532,2012.1.24 2:41,2.2,,37.12 N,125.96 E,인천 옹진군 덕적도 서남서쪽 20km 해역
531,2012.1.19 15:43,2.7,,38.51 N,126.23 E,북한 황해북도 평산 북서쪽 24km 지역
530,2012.1.16 3:03,2.2,,36.79 N,128.75 E,경북 안동시 북쪽 25km 지역
529,2012.1.1 19:40,2,,39.02 N,125.82 E,북한 평양 동쪽 6km 지역
528,2011.12.27 21:57,3.3,,36.86 N,129.94 E,경북 울진군 동남동쪽 50km 해역
527,2011.12.25 0:01,2.3,,37.12 N,128.99 E,강원 태백시 남쪽 5km 지역
526,2011.12.14 15:39,2,,37.97 N,125.82 E,북한 황해남도 해주 남동쪽 12km 지역
525,2011.11.30 0:37,2.5,,35.98 N,126.53 E,전북 군산시 서쪽 17km 해역
524,2011.11.26 4:03,2.2,,34.23 N,127.67 E,전남 여수시 거문도 북동쪽 40km 해역
523,2011.11.2 7:20,3,,35.54 N,130.65 E,울산 동구 동쪽 111km 해역
522,2011.10.7 19:04,2.7,,33.34 N,127.19 E,제주 서귀포시 성산 동쪽 29km 해역
521,2011.9.28 13:20,2.6,,38.48 N,126.26 E,북한 황해북도 평산 북서쪽 20km 지역
520,2011.9.26 22:12,3.3,,34.58 N,128.12 E,경남 남해군 남동쪽 36km 해역
519,2011.9.25 12:59,2.6,,35.58 N,125.90 E,전북 부안군 위도 서쪽 36km 해역
518,2011.9.21 23:59,2.6,,35.91 N,125.21 E,전북 군산시 어청도 서남서쪽 72km 해역
517,2011.9.8 1:56,3.2,,38.82 N,126.00 E,북한 황해북도 사리원 북동쪽 19km 지역
516,2011.8.31 19:39,2.6,,35.70 N,129.75 E,울산 동구 북동쪽 37km 해역
515,2011.8.20 13:22,2.2,,38.46 N,127.83 E,북한 강원 회양 남동쪽 34km 지역
514,2011.8.20 6:57,3,,37.50 N,124.46 E,인천 백령도 남남서쪽 54km 해역
513,2011.8.15 6:10,3.2,,38.47 N,125.63 E,북한 황해북도 사리원 서남서쪽 12km 지역
512,2011.8.9 12:11,2.5,,35.66 N,129.76 E,울산 동구 동북동쪽 35km 해역
511,2011.7.28 11:28,2.2,,35.90 N,129.70 E,경북 포항시 남구 동남동쪽 35km 해역
510,2011.7.27 14:38,2.8,,36.55 N,129.56 E,경북 영덕군 북동쪽 23km 해역
509,2011.7.19 14:54,2.4,,37.89 N,124.67 E,인천 백령도 남쪽 7km 해역
508,2011.7.13 4:05,2.1,,35.91 N,128.39 E,경북 성주군 동쪽 9km 지역
507,2011.7.5 2:13,2.3,,38.58 N,126.36 E,북한 황해북도 신계 서북서쪽 18km 지역
506,2011.6.27 14:11,2.9,,35.52 N,126.14 E,전북 부안군 위도 서남서쪽 17km 해역
