구별,강간,강도,살인,절도,폭력,범죄,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,범죄검거율,CCTV수,CCTV최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,강간율,강도율,살인율,절도율,폭력율,범죄율
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,1.0,1.0,1.0,0.565243921042194,0.7142857142857142,0.3076923076923084,0.41604966975693514,0.7475830830771333,0.4852963167145177,1.0,0.5411766375391841,0.8184665030707,0.8227876898290419,0.08915977626459143,0.8188436582728256,0.035761721919021716,0.03653328670471612,0.6895210852157415,0.5134510191730215,0.45786706264508004,0.5431324314517325,0.23014962978518289,0.26106319463749944,0.25265052426161316
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4675278076785073,0.4379692527708259,0.43339492692759957,0.5870653319283454,1.0,0.25000000000000044,0.09426207085409954,0.3261816773491848,0.11903113275510702,0.12549019607843137,0.6152560752743985,0.598965264870106,0.6054893785243309,0.0667862354085603,0.6538312992430095,0.043443117776571616,0.20723116703693645,0.13620058123025622,0.0900492727547933,0.04228448978402105,0.08957632061223933,0.13507991443357625,0.1383004448810528,0.13301335222975746
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.1331180480803732,0.41544511977118337,0.2675961699983202,0.6555197421434324,0.8571428571428572,1.0,0.42413998744576165,1.0,0.885241548368449,0.1145969498910675,0.4225495103460096,0.36865621075053867,0.3773719306620521,0.04526386186770427,0.6575196972037696,0.05977467636837368,1.0,0.23399774974533535,0.20399243723422134,0.5564181434264021,0.4915691334821959,0.08049979827529563,0.30237795796623373,0.17777602559025596
강서구,0.46109510086455324,0.4705882352941176,0.41666666666666663,0.37064944384642984,0.6149445834823024,0.4906769695951621,0.47100805186656913,1.0,1.0,0.9999999999999998,0.5444315870959322,1.0,0.1738562091503268,0.46731278610215543,0.8807452788337892,0.8818957543932929,0.13700753891050582,1.0,0.06209176981847271,0.20098413599821852,0.09403052423849209,0.17585573026020435,0.18849695454636908,0.1795075026047506,0.026288380724192956,0.0842173591834991,0.0544749545504975
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5895227843559383,0.6474794422595638,0.6183436922560055,0.3960830479452053,1.0,0.666666666666667,0.0,0.0,0.0,0.4405228758169934,0.534976354363916,0.7342632472489111,0.7139865590595817,0.4953489785992218,0.9137571450641124,0.35943492553490686,0.3647240343428271,0.3355610374850565,0.3431644162317331,0.21147739277357,0.3592295719028279,0.1306605742605602,0.1618041366151673,0.15006351879612329
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.7043415859346969,0.40686449767608146,0.5451033092558375,0.8373287671232874,1.0,1.0,0.3938447421346205,0.3445637603967686,0.2561833977889427,0.09673202614379084,0.08661298141505933,0.4472197108806293,0.4342926723752125,0.393239299610895,0.4142206086822185,0.42539233608801175,0.08370017871075408,0.17012163511407966,0.37753727424204364,0.47211277975849697,0.1520297695839792,0.31614684389952774,0.22437899288991375,0.27882227103647983
구로구,0.515850144092219,0.588235294117647,0.5,0.4564047362755651,0.5434393993564532,0.500923903913993,0.18722273680105284,0.46666666666666656,0.25000000000000044,0.25415842827874924,0.0901487528849696,0.21328907486518744,0.4688453159041394,0.141432451982097,0.5889342490215127,0.5448261330071307,0.8928137159533074,0.6965278850610228,0.7952275897774712,0.3184018030669806,0.44712396041309,0.36083546781298814,0.3993640828379239,0.3831428880785338,0.13465979784774895,0.19706662652500467,0.1680849468743592
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.18083961248654468,0.20271719699678226,0.18763648580547626,0.6251020593304908,1.0,1.0,0.8834049155065631,0.7453363204505852,0.9350051428797492,0.23093681917211328,0.3049151033556402,0.2280647570487587,0.20892569442372527,0.5080252918287937,0.2357098717750657,0.8365812031536236,0.35948921141888945,0.5333797483553039,0.3269487101387404,0.22359149978584406,0.1849373422977069,0.19249087870974924,0.30476859810553497,0.2431173610254319
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.405453893074991,0.4419020378977475,0.41424491852847306,0.246923023433697,1.0,1.0,0.2017945943287709,0.6357254480484809,0.3148343961339459,0.3398692810457516,0.7199891095948405,0.8163775660139675,0.8228156607094906,0.054778696498054474,0.9882782326587363,0.01140386312594524,0.30888171565183375,0.22637251856508858,0.09176465932679673,0.0256369890911905,0.3734189309553856,0.049929730839465364,0.04162760415402578,0.04633536821183831
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,0.48744501092293446,0.8814351386049548,0.7759597788744381,0.0,0.9893407185461511,0.403198544482567,0.41456014858131696,0.0,0.5899119419125598,0.0,0.671851021333,0.08127219386303791,0.04068168956620416,0.26400627746781535,0.08240449004184544,0.0,0.0,0.0
