"","CUS_ID","T_USAGE","PAGEVIEWS","GENDER","SCHOOL","LOCATION"
"1498",3424,472867,24940,"여자","대졸","그외"
"1499",3425,262640,17027,"여자","대졸","서울"
"1500",3426,207288,16474,"남자","대졸","그외"
"1501",3429,171096,26158,"남자","고졸","그외"
"1502",3430,612299,23994,"여자","대졸","서울"
"1503",3433,718252,32837,"여자","대졸","서울"
"1504",3435,890962,36612,"남자","대졸","서울"
"1505",3437,741950,20894,"남자","대졸","그외"
"1506",3438,555199,27647,"남자","대졸","서울"
"1507",3439,468043,19358,"여자","대졸","그외"
"1508",3440,17494,1168,"여자","고졸","서울"
"1509",3441,843489,33228,"남자","대졸","서울"
"1510",3442,971924,24213,"남자","대졸","서울"
"1511",3443,916921,50012,"남자","고졸","서울"
"1512",3444,374332,16709,"여자","대졸","그외"
"1513",3448,145051,8063,"남자","대졸","서울"
"1514",3452,502581,21413,"남자","대졸","서울"
"1515",3456,363319,18918,"여자","고졸","서울"
"1516",3458,884841,30313,"여자","고졸","서울"
"1517",3462,1025463,47078,"남자","대졸","서울"
"1518",3463,1200744,46384,"여자","대졸","서울"
"1519",3467,146744,6928,"남자","대졸","그외"
"1520",3468,262513,8958,"여자","고졸","그외"
"1521",3470,134883,11310,"남자","고졸","서울"
"1522",3477,98293,3846,"여자","대졸","서울"
"1523",3478,123264,6669,"남자","대학원졸","그외"
"1524",3481,89900,6311,"남자","고졸","그외"
"1525",3484,269292,9573,"남자","고졸","그외"
"1526",3487,843513,55255,"남자","대졸","서울"
"1527",3492,1893651,41975,"남자","대학원졸","서울"
"1528",3493,221380,7400,"남자","대졸","그외"
"1529",3498,909166,30971,"남자","대졸","서울"
"1530",3504,151183,15588,"남자","대졸","그외"
"1531",3506,489872,22334,"여자","대졸","그외"
"1532",3507,476370,17709,"남자","대학원졸","서울"
"1533",3509,489230,17505,"남자","대학원졸","그외"
"1534",3511,791473,20021,"여자","대졸","서울"
"1535",3514,1408842,40834,"여자","대졸","그외"
"1536",3515,417650,17107,"남자","고졸","그외"
"1537",3516,620306,11252,"남자","대졸","그외"
"1538",3517,791592,29859,"남자","대졸","그외"
"1539",3523,53072,5031,"남자","고졸","서울"
"1540",3525,440006,27819,"여자","대졸","서울"
"1541",3527,1458401,56016,"남자","중졸이하","서울"
"1542",3529,202581,9231,"남자","고졸","그외"
"1543",3534,747063,24809,"남자","대졸","그외"
"1544",3535,452689,15524,"남자","대졸","그외"
"1545",3537,594104,43233,"여자","대졸","서울"
"1546",3539,478272,21238,"여자","대졸","서울"
"1547",3540,760236,18256,"여자","대졸","그외"
"1548",3543,478261,19171,"여자","고졸","서울"
"1549",3544,148514,4373,"남자","고졸","서울"
"1550",3545,1241821,54604,"여자","대졸","그외"
"1551",3547,545922,16723,"여자","대졸","서울"
"1552",3550,192244,5949,"여자","대졸","서울"
"1553",3551,208247,10851,"남자","고졸","그외"
"1554",3553,3797425,36934,"남자","대졸","서울"
"1555",3556,862134,20344,"남자","대졸","그외"
"1556",3559,348918,25632,"남자","대졸","서울"
"1557",3562,439872,11862,"남자","대졸","그외"
"1558",3566,783829,20489,"여자","고졸","그외"
"1559",3575,593304,21983,"여자","대학원졸","서울"
"1560",3576,1594876,41106,"여자","대졸","서울"
"1561",3577,642592,31365,"남자","대졸","그외"
"1562",3579,635176,27652,"남자","고졸","서울"
"1563",3580,315605,15061,"남자","고졸","그외"
"1564",3584,1038603,52707,"여자","고졸","서울"
"1565",3586,632045,41092,"여자","대졸","서울"
"1566",3587,2004598,85801,"남자","고졸","서울"
"1567",3588,200069,8037,"여자","대졸","그외"
"1568",3596,1340754,60533,"여자","고졸","그외"
"1569",3601,880351,47304,"여자","대졸","서울"
"1570",3603,403274,15241,"남자","대학원졸","서울"
"1571",3607,179112,6325,"남자","대졸","그외"
"1572",3608,2016587,30115,"여자","대졸","서울"
"1573",3609,138715,6024,"남자","대학원졸","그외"
"1574",3610,896495,58484,"여자","대졸","서울"
"1575",3611,1207889,29627,"남자","대학원졸","서울"
"1576",3612,696538,25964,"여자","대졸","그외"
"1577",3613,609326,33358,"남자","대졸","그외"
"1578",3616,136739,8266,"남자","고졸","서울"
"1579",3617,474790,26307,"남자","고졸","서울"
"1580",3623,66498,4237,"남자","대졸","그외"
"1581",3625,421288,11893,"여자","대졸","서울"
"1582",3627,425945,16812,"여자","고졸","서울"
"1583",3629,519737,15615,"남자","대학원졸","그외"
"1584",3630,31298,3403,"남자","대졸","서울"
"1585",3632,203775,15064,"남자","고졸","서울"
"1586",3634,605970,22795,"여자","고졸","서울"
"1587",3635,211020,9830,"남자","대졸","그외"
"1588",3637,71704,3243,"여자","고졸","서울"
"1589",3640,581290,33650,"남자","대학원졸","서울"
"1590",3641,907286,65766,"여자","고졸","서울"
"1591",3642,553073,14298,"남자","대학원졸","그외"
"1592",3646,207375,9857,"여자","대졸","그외"
"1593",3647,1310666,26927,"여자","고졸","서울"
"1594",3648,491271,18935,"여자","중졸이하","서울"
"1595",3649,268803,8546,"남자","대졸","그외"
"1596",3651,293373,18845,"남자","고졸","서울"
"1597",3653,548051,22514,"남자","고졸","그외"
"1598",3656,414022,17664,"남자","대졸","그외"
"1599",3657,174308,4316,"남자","대졸","그외"
"1600",3662,472535,15098,"남자","대졸","그외"
